Fstat_Species	Anova_Species	AnovaAdj_Species
ACAD9	170.69629519612	5.14321744177658e-20	6.93357143325901e-16
ACADL	5.20460710379098	0.00991984462818276	1
ACADM	49.802500577171	1.82419504373548e-11	2.4591973384598e-07
ACADS	0.820657699597324	0.447598473662861	1
ACADSB	24.2807734190638	1.41464688548455e-07	0.00190708546632172
ACADVL	78.064070847237	2.31484342090456e-14	3.12064041572143e-10
ACAN	20.8977775855408	6.78741153911003e-07	0.00915010949587423
ACAP1	15.8110964677892	9.36281530930124e-06	0.12622011318469
ACAP2	17.8130450809976	3.19441555023734e-06	0.0430639160327496
ACAP3	16.4844024038737	6.4780780255821e-06	0.0873309698628722
ACAT1	35.920728616073	1.42582562011143e-09	1.92215551847221e-05
ACAT2	7.42346718837971	0.00185404669725869	1
ACBD3	16.8115321479381	5.4300737191164e-06	0.0732028238074082
ACBD4	2.1080083688201	0.135110002995678	1
ACBD5	0.837422444182226	0.440458180822177	1
ACBD6	30.6585656574188	9.97574407974275e-09	0.000134483005939012
ACBD7	0.849760250745316	0.435279917339122	1
ACCSL	11.2305875810578	0.000140618696979632	1
ACD	15.0111423404564	1.46375330967916e-05	0.197328583677847
ACE	3.08206607662411	0.0571851522377089	1
ACER1	11.2050441058775	0.000142917454778944	1
ACER2	2.60356177768195	0.0868282039850237	1
ACER3	13.5750660960849	3.35282485358183e-05	0.451994318511367
ACHE	33.8934603085344	2.94888344368202e-09	3.97538977042773e-05
ACIN1	37.0813040216383	9.51814574344812e-10	1.28314122767424e-05
ACKR2	7.60774661621417	0.00162312990750556	1
ACKR3	16.0207428691764	8.34209523704326e-06	0.11245978589058
ACKR4	3.58468991349337	0.0372268285742458	1
ACLY	4.9591637728023	0.0120521249156949	1
ACMSD	0.688785400794604	0.508190080810975	1
ACO1	1.23716757998517	0.301342852246714	1
ACO2	13.280373456119	3.99212314336109e-05	0.538178120956508
ACOT1	1.7192751689768	0.192499364273616	1
ACOT11	35.6706341852928	1.55728960912008e-09	2.09938212205477e-05
ACOT12	4.22609297102088	0.0218154149621067	1
