Fstat_Species	Anova_Species	AnovaAdj_Species
A2M	1.97833809411661	0.155377888368629	1
AAAS	8.43130039707535	0.00119169110679671	1
AACS	2.26451824290562	0.120798930595185	1
AADAT	9.34020554097547	0.000668707128058359	1
AAK1	17.7268439272434	7.36309499147965e-06	0.0556649981355861
AAR2	17.56982013965	7.92406286004504e-06	0.0599059152219405
AARS	18.1413916928203	6.07568208427614e-06	0.0459321565571276
AARS2	0.855000495334914	0.43506847610457	1
AASDH	1.66036157384233	0.206529260338387	1
AASDHPPT	2.43589145327811	0.104096309792077	1
AASS	7.10328924335557	0.0028872265488488	1
AATF	23.6242965478047	5.85086287815631e-07	0.00442325233588617
AATK	4.97506434782698	0.0133705586796383	1
ABAT	14.7069728224884	3.22462819259284e-05	0.243781891360019
ABCA1	5.12963562428259	0.0118993211224447	1
ABCA10	101.03103614793	2.63206370763514e-14	1.98984016297216e-10
ABCA2	48.2022939237862	3.06011474844436e-10	2.31344674982393e-06
ABCA3	7.7147905238669	0.0019089185527162	1
ABCA5	42.3653280831864	1.35723738730539e-09	1.02607146480288e-05
ABCA7	43.1942945223689	1.08869210510429e-09	8.23051231458841e-06
ABCA8	39.4346037527378	3.03758458026449e-09	2.29641394267996e-05
ABCA9	72.8402410642059	1.92611995711039e-12	1.45614668757545e-08
ABCB6	7.41596281375182	0.00233346147219132	1
ABCB9	4.67684050657103	0.0167848446479712	1
ABCC1	4.26013393439731	0.0231951999682733	1
ABCC10	47.6602228277887	3.49353172996779e-10	2.64110998785565e-06
ABCC2	18.2685343521269	5.7306257113538e-06	0.0433235303778347
ABCC4	0.751295186738737	0.480150791794996	1
ABCC5	17.9522646639837	6.63049111794588e-06	0.0501265128516709
ABCC8	2.00055060425039	0.152349058419838	1
ABCD2	2.95078338525301	0.0671292451119601	1
ABCD3	25.491119545992	2.8408593553847e-07	0.00214768967267083
ABCD4	172.191951350208	1.6282974934171e-17	1.23099290502333e-13
ABCE1	10.8821348941578	0.000262928282436499	1
ABCF1	8.77538514029015	0.000955138439103096	1
ABCF2	28.3783361647263	9.89154155745888e-08	0.000747800541743891
ABCF3	2.41091304169888	0.10636936787861	1
ABHD10	1.69528594926215	0.200122346095478	1
ABHD11	3.19729325312035	0.054647570205625	1
ABHD12	8.38428998809798	0.00122857060980901	1
ABHD13	6.63205821554366	0.00400224214748508	1
ABHD14B	26.0423312770157	2.30957951720421e-07	0.00174604211500639
ABHD15	1.61376197537766	0.21542012198816	1
ABHD16A	12.7609156044505	9.05221344345556e-05	0.68434733632524
ABHD17A	15.9859034701769	1.69566808839934e-05	0.12819250748299
ABHD17B	10.8883141817155	0.000261975577083979	1
ABHD2	7.40450064242283	0.00235162728236052	1
ABHD4	15.114600169828	2.61967941564134e-05	0.198047763822485
ABHD6	19.2471279557398	3.68042660705602e-06	0.0278240251493435
ABI1	5.09230989106588	0.012238066541309	1
ABI2	9.74830990321014	0.000519446091407261	1
ABL1	26.193830198474	2.18287327820047e-07	0.00165025219831956
ABL2	4.48777495432623	0.0194219276098527	1
ABLIM1	72.9533007954746	1.88831150459108e-12	1.42756349747085e-08
ABLIM2	4.08048913927635	0.0267224641374728	1
ABLIM3	22.9427667690287	7.68271020121355e-07	0.00580812891211744
ABR	13.5288272792489	5.97426119124548e-05	0.451654146058159
ABTB1	32.1559850776488	2.7499248751932e-08	0.000207894320564606
ACAA1	23.4940806498585	6.16114876249624e-07	0.00465782846444716
ACACA	0.0757350879961634	0.927232753337963	1
ACACB	59.3681316165406	2.50344409019335e-11	1.89260373218617e-07
ACAD8	9.80324325808652	0.000502238921636979	1
ACAD9	78.0451895076925	7.93064856188552e-13	5.99557031278545e-09
ACADSB	21.837891512702	1.20731218636833e-06	0.0091272801289446
ACADVL	2.30534484655102	0.116576305335388	1
ACAP2	2.79888745737874	0.0763059997097493	1
ACAP3	3.53140626733989	0.0415281587946777	1
ACAT1	4.26213503072514	0.0231588214377652	1
ACAT2	0.0113553486134945	0.988712990532752	1
ACBD3	5.70498172457858	0.00776879806374409	1
ACBD5	1.1390886343172	0.333145173970985	1
ACBD6	28.0371587985739	1.11637479104464e-07	0.000843979342029747
ACD	4.75071607433066	0.0158604446724908	1
ACER2	6.53616213218318	0.00428088889339577	1
ACER3	5.25878539297151	0.0108021764018097	1
ACIN1	10.7478406441065	0.00028457111847997	1
ACLY	2.59026841766601	0.0911472675549648	1
ACO1	0.938429675379817	0.402074228066242	1
ACO2	1.57051238016874	0.224036969781983	1
ACOT11	90.8601098950675	1.08410231575506e-13	8.19581350710825e-10
ACOT8	0.376472019892468	0.689373024671848	1
ACOX1	25.9069732339841	2.42941827795943e-07	0.00183664021813733
ACOX3	0.00421244058142703	0.99579698920045	1
ACP2	24.1816995271919	4.6988569675646e-07	0.00355233586747884
ACP6	7.73965472451824	0.00187750635315267	1
ACRBP	69.808942858269	3.30921998021744e-12	2.50177030504438e-08
ACSBG1	61.8837294095956	1.49993227851292e-11	1.13394880255576e-07
ACSF2	8.03256222329203	0.00154621000232294	1
ACSF3	8.81456329445677	0.000931560313494399	1
ACSL1	0.854525174401138	0.435264509395022	1
ACSL3	2.2132222714358	0.126336531794398	1
ACSL6	36.8003233113145	6.50614189475690e-09	4.91864327243621e-05
ACSM5	89.1945551555914	1.38457930061609e-13	1.04674195126577e-09
ACSS1	21.9042025232515	1.17455977837222e-06	0.00887967192449397
ACSS2	4.02224117154667	0.0279853911089967	1
ACTB	8.66875075960121	0.00102258913515739	1
ACTG1	4.17213343929735	0.0248567111944205	1
