Fstat_Species	Anova_Species	AnovaAdj_Species
ABLIM3	24.4597251983032	7.17308577779354e-07	0.00967003693704347
ABR	22.9098110084801	1.27587168414063e-06	0.0172000261738998
ABRA	3.95088494769671	0.0308028152993819	1
ABTB1	25.5928142991219	4.77708840079354e-07	0.00643999287310978
ACAA1	24.990621527373	5.92038958977546e-07	0.0079812772059763
ACAA2	0.425842970367949	0.657378798270841	1
ACACA	0.0645425909220278	0.937635245232455	1
ACACB	59.754457615747	7.88418251108823e-11	1.0628666443198e-06
ACAD8	11.3710939958804	0.000242685472270691	1
ACAD9	91.0455733859045	5.57832631684458e-13	7.52014170773818e-09
ACADL	19.5570878620665	4.83963700981156e-06	0.0652431465292697
ACADM	11.8756451629803	0.00018421113655678	1
ACADS	1.76937552015724	0.188968565312855	1
ACADSB	23.4895699184206	1.02576076766973e-06	0.0138282809089557
ACADVL	2.89830637186307	0.071777443007418	1
ACAN	3.3010454679186	0.0516154401119606	1
ACAP1	1.89517059881108	0.169075153828084	1
ACAP2	4.33673536544326	0.022870952766719	1
ACAP3	5.13345320039609	0.0126091404192555	1
ACAT1	3.71810785431373	0.036978537033868	1
ACAT2	0.321427921360345	0.727752988590903	1
ACBD3	9.32686048590691	0.000786691418051453	1
ACBD4	8.85962840240161	0.00104429733588016	1
ACBD5	1.28361313915474	0.292838377672751	1
ACBD6	25.0380483522777	5.82048443834644e-07	0.00784659507133483
ACBD7	3.90653094747813	0.0318883532660561	1
ACCSL	6.89336739525597	0.00367853018541295	1
ACD	7.19803454573789	0.00300368344874932	1
ACE	2.54512830139883	0.0964740585685781	1
ACER1	8.98799822320713	0.000965553474504066	1
ACER2	15.0507388035436	3.64411401759588e-05	0.491263010712101
ACER3	4.92618287813604	0.0146862206269055	1
ACHE	1.48544497730952	0.24370298448459	1
ACIN1	11.1330584562133	0.000276922166447864	1
ACKR2	9.58354615655574	0.000674939706302853	1
ACKR3	1.16189245178415	0.327525211208647	1
ACKR4	2.07446957435122	0.144503839264655	1
ACLY	2.83363667964007	0.075735797969944	1
ACMSD	6.06202936253602	0.0064944807765164	1
ACO1	0.872273987720156	0.429051289313051	1
ACO2	1.76621911433485	0.189498897654933	1
ACOT1	0.3618680459408	0.699583324192018	1
ACOT11	166.623544187443	2.82456428387411e-16	3.80779511109068e-12
ACOT12	7.71893337734216	0.00213822594926773	1
ACOT13	0.1290591325564	0.879441794771375	1
ACOT2	0.47015525719827	0.629749493600245	1
ACOT6	9.57358485766507	0.000678943545140273	1
ACOT8	1.01777271290915	0.374382136854797	1
ACOX1	29.8411519464482	1.14668756442225e-07	0.00154584950559763
ACOX2	2.35558813164756	0.113361656019722	1
ACOX3	0.0763108718430495	0.926720149106706	1
ACP2	25.2446777763797	5.40582214550191e-07	0.00728758883435112
ACP5	1.99601374727674	0.154748959522854	1
ACP6	9.89358346681446	0.000562152907774928	1
ACPP	0.499715277869155	0.612011888789169	1
ACR	1.44643645494483	0.252462146229045	1
ACRBP	46.8297021052143	1.16996493167869e-09	1.57722972439604e-05
