Gene	Class
TM9SF4	Primate_Accel
TRAPPC12	Primate_Accel
TRIM11	Primate_Accel
TRIM22	Primate_Accel
TRIM36	Primate_Accel
TRIM54	Primate_Accel
TRIM69	Primate_Accel
TRMT11	Primate_Accel
TRPM2	Primate_Accel
TSNAXIP1	Primate_Accel
TTC39A	Primate_Accel
TTC7A	Primate_Accel
TTLL7	Primate_Accel
TYW1B	Primate_Accel
UBAP1L	Primate_Accel
UBAP2	Primate_Accel
UBE2G2	Primate_Accel
UBXN10	Primate_Accel
UBXN4	Primate_Accel
USP25	Primate_Accel
VSTM2B	Primate_Accel
XRRA1	Primate_Accel
YJEFN3	Primate_Accel
ZBBX	Primate_Accel
ZFP69B	Primate_Accel
ZFPM2	Primate_Accel
ZNF276	Primate_Accel
ZNF333	Primate_Accel
ZNF444	Primate_Accel
ZNF490	Primate_Accel
ZNF528	Primate_Accel
ZNF529	Primate_Accel
ZNF543	Primate_Accel
ZNF681	Primate_Accel
ZNF692	Primate_Accel
ZNF706	Primate_Accel
ABCC4	Primate_Decel
ACADSB	Primate_Decel
ACTL7B	Primate_Decel
ADA	Primate_Decel
ADAMTSL4	Primate_Decel
AIRE	Primate_Decel
ALPK3	Primate_Decel
AMIGO1	Primate_Decel
APOL5	Primate_Decel
ARHGAP35	Primate_Decel
ARID3C	Primate_Decel
ASH1L	Primate_Decel
ASRGL1	Primate_Decel
ATG9A	Primate_Decel
B4GALT3	Primate_Decel
BATF2	Primate_Decel
BLOC1S3	Primate_Decel
BST1	Primate_Decel
BTBD3	Primate_Decel
C4A	Primate_Decel
C8orf37	Primate_Decel
CABP5	Primate_Decel
CACNA2D4	Primate_Decel
CALHM2	Primate_Decel
CARD8	Primate_Decel
CBX2	Primate_Decel
CC2D2A	Primate_Decel
CCDC71	Primate_Decel
CCL25	Primate_Decel
CDRT1	Primate_Decel
CEACAM1	Primate_Decel
CFI	Primate_Decel
CHSY3	Primate_Decel
CMKLR1	Primate_Decel
