Gene	Class
KATNAL1	PanTro_DownReg
KCNIP2	PanTro_DownReg
KCTD9	PanTro_DownReg
KIF6	PanTro_DownReg
KLHL17	PanTro_DownReg
L3MBTL1	PanTro_DownReg
LAMA4	PanTro_DownReg
LGI4	PanTro_DownReg
LPCAT1	PanTro_DownReg
MATR3	PanTro_DownReg
MCTP1	PanTro_DownReg
MLXIP	PanTro_DownReg
MTMR12	PanTro_DownReg
MYO7A	PanTro_DownReg
NACAD	PanTro_DownReg
NAPEPLD	PanTro_DownReg
NDUFAF2	PanTro_DownReg
NEBL	PanTro_DownReg
NECAB1	PanTro_DownReg
NEK1	PanTro_DownReg
NEK4	PanTro_DownReg
NELL1	PanTro_DownReg
NOP56	PanTro_DownReg
NPRL3	PanTro_DownReg
OGFOD1	PanTro_DownReg
PDE1B	PanTro_DownReg
PDE8A	PanTro_DownReg
PGM2	PanTro_DownReg
PHACTR2	PanTro_DownReg
PIK3C3	PanTro_DownReg
PLCL1	PanTro_DownReg
PLEC	PanTro_DownReg
PLEKHH2	PanTro_DownReg
PPFIBP2	PanTro_DownReg
PPP1R37	PanTro_DownReg
PPP2CA	PanTro_DownReg
PSMA7	PanTro_DownReg
PSPC1	PanTro_DownReg
RAB30	PanTro_DownReg
RANBP1	PanTro_DownReg
RASSF5	PanTro_DownReg
RBM20	PanTro_DownReg
RBMS1	PanTro_DownReg
REEP3	PanTro_DownReg
RNF213	PanTro_DownReg
RSRC1	PanTro_DownReg
RUFY1	PanTro_DownReg
SCLT1	PanTro_DownReg
SEMA4D	PanTro_DownReg
SIKE1	PanTro_DownReg
SLC25A26	PanTro_DownReg
SLC6A7	PanTro_DownReg
SMIM14	PanTro_DownReg
SPAG9	PanTro_DownReg
ST6GAL1	PanTro_DownReg
STX3	PanTro_DownReg
THAP6	PanTro_DownReg
THBS3	PanTro_DownReg
TMEM150C	PanTro_DownReg
TNKS1BP1	PanTro_DownReg
TOP1	PanTro_DownReg
TOP2B	PanTro_DownReg
TPP1	PanTro_DownReg
TRAF3IP1	PanTro_DownReg
TTC7B	PanTro_DownReg
TUBGCP4	PanTro_DownReg
UIMC1	PanTro_DownReg
USP8	PanTro_DownReg
UTP18	PanTro_DownReg
VPS4B	PanTro_DownReg
ZBTB11	PanTro_DownReg
ZNF283	PanTro_DownReg
ZNF391	PanTro_DownReg
ZNF827	PanTro_DownReg
