Gene	Class
CILP	OLIG2
CNTNAP3	OLIG2
COL11A2	OLIG2
CRTC3	OLIG2
CTSO	OLIG2
CYBRD1	OLIG2
DAZAP1	OLIG2
DEF8	OLIG2
DNLZ	OLIG2
DRG2	OLIG2
DSEL	OLIG2
DUOXA1	OLIG2
DUSP28	OLIG2
ECM1	OLIG2
ELMSAN1	OLIG2
ERBB3	OLIG2
FAM131B	OLIG2
FAM206A	OLIG2
FBN1	OLIG2
FBXL7	OLIG2
FSTL5	OLIG2
FZD5	OLIG2
GPR89B	OLIG2
HBS1L	OLIG2
HECTD4	OLIG2
HEY2	OLIG2
HPS1	OLIG2
IVD	OLIG2
KANK1	OLIG2
KAZN	OLIG2
KIAA0930	OLIG2
KLHDC8A	OLIG2
LANCL2	OLIG2
LDB3	OLIG2
LIPA	OLIG2
LLGL1	OLIG2
MAPKBP1	OLIG2
MAU2	OLIG2
MFNG	OLIG2
MGAT4B	OLIG2
MOG	OLIG2
MYCBPAP	OLIG2
NCOA1	OLIG2
NELFA	OLIG2
NRP2	OLIG2
NSUN3	OLIG2
PARP8	OLIG2
PGBD2	OLIG2
PGM5	OLIG2
PRICKLE2	OLIG2
RASA4B	OLIG2
RGMB	OLIG2
RNASE1	OLIG2
RNF130	OLIG2
SAMD4B	OLIG2
SBF1	OLIG2
SCUBE2	OLIG2
SEMA3A	OLIG2
SERINC3	OLIG2
SHISA9	OLIG2
SLC6A20	OLIG2
SLFN5	OLIG2
SPNS1	OLIG2
STX16	OLIG2
SUGP2	OLIG2
TANGO2	OLIG2
TBC1D30	OLIG2
TDP1	OLIG2
TMEM231	OLIG2
TTLL11	OLIG2
TTYH1	OLIG2
TXLNB	OLIG2
TYSND1	OLIG2
UBR3	OLIG2
USP20	OLIG2
WDR6	OLIG2
WRNIP1	OLIG2
WWC2	OLIG2
XKR6	OLIG2
ZNF280D	OLIG2
ZNF619	OLIG2
ZNF784	OLIG2
ZNF839	OLIG2
AATF	OLIG2
ADAM8	OLIG2
ANK2	OLIG2
ANKRD24	OLIG2
APEH	OLIG2
BSDC1	OLIG2
C12orf29	OLIG2
CADM2	OLIG2
CCDC47	OLIG2
CNTLN	OLIG2
COL9A1	OLIG2
COL9A2	OLIG2
CRB2	OLIG2
DAAM1	OLIG2
DCP2	OLIG2
DENND2A	OLIG2
DIS3L2	OLIG2
DLL1	OLIG2
DROSHA	OLIG2
DXO	OLIG2
EBAG9	OLIG2
ELP2	OLIG2
ERC2	OLIG2
GON4L	OLIG2
HID1	OLIG2
ILDR2	OLIG2
KAT6B	OLIG2
KIAA1755	OLIG2
KIF13B	OLIG2
LONRF2	OLIG2
LRCH4	OLIG2
LRPAP1	OLIG2
MAGI2	OLIG2
MCCC1	OLIG2
MIA3	OLIG2
MORC3	OLIG2
MRAS	OLIG2
MYH14	OLIG2
NOM1	OLIG2
OGFRL1	OLIG2
POLM	OLIG2
RANBP1	OLIG2
RMDN2	OLIG2
RRP1B	OLIG2
SEPT7	OLIG2
SERINC1	OLIG2
SERPINE2	OLIG2
SH3RF1	OLIG2
SLC39A7	OLIG2
SNX29	OLIG2
SNX6	OLIG2
SPATS2L	OLIG2
SSR1	OLIG2
TK2	OLIG2
TNIK	OLIG2
TRAPPC10	OLIG2
USP22	OLIG2
UTP18	OLIG2
VSNL1	OLIG2
XRCC1	OLIG2
XRCC2	OLIG2
ZBTB11	OLIG2
ZDHHC14	OLIG2
ZFPM2	OLIG2
