Gene	Class
VPS37A	NeuN
VPS41	NeuN
VWA3A	NeuN
VWA7	NeuN
WDR17	NeuN
WDR60	NeuN
WDR78	NeuN
WWOX	NeuN
ZADH2	NeuN
ZBTB37	NeuN
ZC3H13	NeuN
ZC3H15	NeuN
ZDHHC14	NeuN
ZDHHC2	NeuN
ZMAT3	NeuN
ZNF24	NeuN
ZNF514	NeuN
ZNF649	NeuN
ZNF667	NeuN
ZNHIT3	NeuN
ZNRF2	NeuN
ACHE	NeuN
ADCY9	NeuN
AIDA	NeuN
AKAP6	NeuN
AMPD2	NeuN
ANAPC1	NeuN
ANK3	NeuN
ANKRD34A	NeuN
APC	NeuN
APH1A	NeuN
AQR	NeuN
ARC	NeuN
ARF6	NeuN
ARHGEF40	NeuN
ATAT1	NeuN
ATRN	NeuN
BBS4	NeuN
BCL9	NeuN
BHLHE40	NeuN
BOP1	NeuN
BRD2	NeuN
BSN	NeuN
BZW1	NeuN
C1QL3	NeuN
C2orf80	NeuN
C3orf20	NeuN
CCDC107	NeuN
CCNDBP1	NeuN
CCNF	NeuN
CD46	NeuN
CDH11	NeuN
CDH26	NeuN
CDK4	NeuN
CELSR3	NeuN
CEP170	NeuN
CHGA	NeuN
CHPF	NeuN
CHRNA7	NeuN
CLDN15	NeuN
CNPPD1	NeuN
CNTN6	NeuN
COL4A1	NeuN
COPA	NeuN
CTSO	NeuN
DCTN2	NeuN
DDX24	NeuN
DHX58	NeuN
ENPP2	NeuN
EPN3	NeuN
FAIM2	NeuN
FAM208A	NeuN
FAT1	NeuN
FAT4	NeuN
FBXL14	NeuN
FOXO3	NeuN
FRMPD2	NeuN
GET4	NeuN
GMPR2	NeuN
GTF2H2C	NeuN
GTF2IRD2B	NeuN
GTPBP2	NeuN
HECTD1	NeuN
HECTD3	NeuN
HEG1	NeuN
HERPUD2	NeuN
HIVEP1	NeuN
HIVEP2	NeuN
HMCN2	NeuN
HTR6	NeuN
IGF2R	NeuN
IGFBP5	NeuN
KCNC2	NeuN
KEAP1	NeuN
KIAA1217	NeuN
KIAA2026	NeuN
KLC2	NeuN
KMT2A	NeuN
LAMB3	NeuN
LGI3	NeuN
LRRC41	NeuN
LRRC66	NeuN
LRRTM1	NeuN
LRRTM3	NeuN
MAF1	NeuN
MAGEL2	NeuN
MAP2	NeuN
MAP4K2	NeuN
MDGA2	NeuN
METTL13	NeuN
MLX	NeuN
MMRN2	NeuN
MTRF1L	NeuN
MUS81	NeuN
MUT	NeuN
MYCBPAP	NeuN
NLRX1	NeuN
NR3C2	NeuN
NSF	NeuN
NUDT4	NeuN
OAS3	NeuN
OXA1L	NeuN
PCLO	NeuN
PER1	NeuN
PLCL2	NeuN
PLIN1	NeuN
POGLUT1	NeuN
POLR1B	NeuN
POU6F1	NeuN
PPOX	NeuN
PRDM4	NeuN
PRPF19	NeuN
RAI1	NeuN
RALGAPA1	NeuN
RASA4	NeuN
RLF	NeuN
RNF145	NeuN
RPUSD4	NeuN
SACS	NeuN
SCARF2	NeuN
SCG2	NeuN
SCUBE1	NeuN
SEL1L3	NeuN
SEMA4G	NeuN
SERPINB1	NeuN
SETBP1	NeuN
SF3B4	NeuN
SH3BP4	NeuN
SHMT2	NeuN
SIK1	NeuN
SLC24A2	NeuN
SLC25A23	NeuN
SLC32A1	NeuN
SLC35B2	NeuN
SLC37A4	NeuN
SLC6A17	NeuN
SLC6A9	NeuN
SLFNL1	NeuN
SLITRK3	NeuN
SNX19	NeuN
SON	NeuN
SPEN	NeuN
SRSF4	NeuN
ST3GAL1	NeuN
SVEP1	NeuN
SYT13	NeuN
SYT2	NeuN
TCEA1	NeuN
TCF20	NeuN
TDRD7	NeuN
TENM4	NeuN
TFR2	NeuN
TMEM25	NeuN
TNN	NeuN
TOP3A	NeuN
TRADD	NeuN
TRIM28	NeuN
TSC22D1	NeuN
TTI1	NeuN
TWIST1	NeuN
USP34	NeuN
VARS	NeuN
VEGFB	NeuN
VOPP1	NeuN
WDR24	NeuN
WDR3	NeuN
WDR7	NeuN
YPEL4	NeuN
ZBED6CL	NeuN
ZBTB40	NeuN
ZFC3H1	NeuN
ZFP62	NeuN
ZFPL1	NeuN
ZKSCAN2	NeuN
ZNF292	NeuN
ZNF347	NeuN
ZNF354C	NeuN
ZNF408	NeuN
ZNF599	NeuN
ZNF608	NeuN
ZNF677	NeuN
ZZEF1	NeuN
AARS	OLIG2
ABCF2	OLIG2
ACSL6	OLIG2
ADAM19	OLIG2
AIMP1	OLIG2
AK2	OLIG2
AKT1	OLIG2
AMPD3	OLIG2
ANAPC16	OLIG2
ANKRD6	OLIG2
AP3B1	OLIG2
APP	OLIG2
ARHGAP10	OLIG2
ARHGEF12	OLIG2
ARHGEF26	OLIG2
ARID4A	OLIG2
ASCL1	OLIG2
ASPH	OLIG2
ATAD2B	OLIG2
ATP1B1	OLIG2
ATP2B4	OLIG2
ATP8A1	OLIG2
BAZ1B	OLIG2
BCAS1	OLIG2
BCAT1	OLIG2
BCL7A	OLIG2
BDH1	OLIG2
BEST1	OLIG2
BICD1	OLIG2
BLZF1	OLIG2
BRD8	OLIG2
C19orf18	OLIG2
C1orf35	OLIG2
C20orf96	OLIG2
C7orf55-LUC7L2	OLIG2
CADM3	OLIG2
CALCOCO2	OLIG2
CALD1	OLIG2
CAMK1D	OLIG2
CAMK2G	OLIG2
CCDC136	OLIG2
CCDC174	OLIG2
CCDC30	OLIG2
CCDC62	OLIG2
CCDC91	OLIG2
CCDC93	OLIG2
CCSAP	OLIG2
CDC40	OLIG2
CDC5L	OLIG2
CDC73	OLIG2
CDK11A	OLIG2
CDK5RAP2	OLIG2
CDKAL1	OLIG2
CENPT	OLIG2
CEP63	OLIG2
CEP78	OLIG2
CES2	OLIG2
CFDP1	OLIG2
CHD6	OLIG2
CIR1	OLIG2
CLNS1A	OLIG2
CLUAP1	OLIG2
CMIP	OLIG2
CMTR1	OLIG2
CMYA5	OLIG2
CNOT3	OLIG2
CNST	OLIG2
CNTRL	OLIG2
COG5	OLIG2
COL18A1	OLIG2
COX15	OLIG2
CTNNA2	OLIG2
CTR9	OLIG2
CTTN	OLIG2
CWC15	OLIG2
CWC25	OLIG2
CWF19L2	OLIG2
DBF4B	OLIG2
DCUN1D4	OLIG2
DDX10	OLIG2
DDX23	OLIG2
DDX55	OLIG2
DFFA	OLIG2
DHX38	OLIG2
DIP2C	OLIG2
DIXDC1	OLIG2
DNAJB6	OLIG2
DNAJC2	OLIG2
DNM3	OLIG2
DOCK1	OLIG2
DPF3	OLIG2
DYNC1I2	OLIG2
DZIP1	OLIG2
EHBP1L1	OLIG2
EIF2D	OLIG2
EIF2S2	OLIG2
EIF3G	OLIG2
EIF5	OLIG2
EIF5B	OLIG2
ENC1	OLIG2
ENDOV	OLIG2
EPS15	OLIG2
ERC1	OLIG2
EVL	OLIG2
FAM114A1	OLIG2
FAM133B	OLIG2
FAM184A	OLIG2
FAM184B	OLIG2
FEZ1	OLIG2
FEZ2	OLIG2
FRA10AC1	OLIG2
GFPT2	OLIG2
GGA2	OLIG2
GIGYF2	OLIG2
GIPR	OLIG2
GNAQ	OLIG2
GOLGA3	OLIG2
GPATCH1	OLIG2
GPHN	OLIG2
GSN	OLIG2
GTF2F1	OLIG2
GTF2IRD1	OLIG2
HAP1	OLIG2
HDAC2	OLIG2
HINT3	OLIG2
HMGN3	OLIG2
HNRNPR	OLIG2
HP1BP3	OLIG2
HSP90B1	OLIG2
IGFN1	OLIG2
IL17RB	OLIG2
INO80E	OLIG2
INPP4B	OLIG2
INTS3	OLIG2
IQCB1	OLIG2
ITSN1	OLIG2
ITSN2	OLIG2
JUND	OLIG2
KCNAB1	OLIG2
KCNH1	OLIG2
KIAA1217	OLIG2
KIF16B	OLIG2
KIF5B	OLIG2
KNOP1	OLIG2
KRCC1	OLIG2
KRI1	OLIG2
L3MBTL3	OLIG2
LARS	OLIG2
LARS2	OLIG2
LENG1	OLIG2
LEO1	OLIG2
LETM1	OLIG2
LIMA1	OLIG2
LIMCH1	OLIG2
LONP1	OLIG2
LRP2BP	OLIG2
LRRK2	OLIG2
LUC7L3	OLIG2
LYAR	OLIG2
MAP3K5	OLIG2
MAP7	OLIG2
MATN2	OLIG2
MAX	OLIG2
MCM8	OLIG2
MED4	OLIG2
MICU1	OLIG2
MNAT1	OLIG2
MPHOSPH8	OLIG2
MPHOSPH9	OLIG2
MROH7	OLIG2
MTDH	OLIG2
MXI1	OLIG2
MYO10	OLIG2
MYO6	OLIG2
MYO7A	OLIG2
MYT1L	OLIG2
N6AMT1	OLIG2
NAA15	OLIG2
NAP1L4	OLIG2
NAPB	OLIG2
NARF	OLIG2
NCBP1	OLIG2
NCOR1	OLIG2
NEBL	OLIG2
NEFH	OLIG2
NEMF	OLIG2
NICN1	OLIG2
NLK	OLIG2
NOC2L	OLIG2
NOP14	OLIG2
NRXN3	OLIG2
NSUN6	OLIG2
NUCKS1	OLIG2
NUP43	OLIG2
NVL	OLIG2
OARD1	OLIG2
OS9	OLIG2
OXCT1	OLIG2
PACSIN2	OLIG2
PALLD	OLIG2
PAXBP1	OLIG2
PAXIP1	OLIG2
PCM1	OLIG2
PCNT	OLIG2
PCSK5	OLIG2
PCSK7	OLIG2
PDCD7	OLIG2
PDE8B	OLIG2
PELP1	OLIG2
PES1	OLIG2
