Gene	Class
RGS2	NeuN
RHOF	NeuN
RIMKLA	NeuN
RING1	NeuN
RIPK2	NeuN
RMND1	NeuN
RNF207	NeuN
RNF26	NeuN
RNF40	NeuN
RNMT	NeuN
RPN1	NeuN
RRNAD1	NeuN
RTTN	NeuN
RUNX2	NeuN
SCN2B	NeuN
SCRN2	NeuN
SDHA	NeuN
SEMA5A	NeuN
SERPINI1	NeuN
SETX	NeuN
SH3BP5L	NeuN
SLAIN1	NeuN
SLC12A3	NeuN
SLC19A2	NeuN
SLC25A1	NeuN
SLC25A28	NeuN
SLC26A6	NeuN
SLC31A2	NeuN
SLC35C1	NeuN
SLC43A1	NeuN
SLC43A2	NeuN
SLC45A4	NeuN
SLC47A1	NeuN
SLC7A8	NeuN
SMC3	NeuN
SMN1	NeuN
SNCAIP	NeuN
SNN	NeuN
SNTA1	NeuN
SNTG2	NeuN
SNX31	NeuN
SOCS2	NeuN
SOS2	NeuN
SPAG4	NeuN
SPATA5	NeuN
SPDL1	NeuN
SPRED2	NeuN
SRCIN1	NeuN
SREK1	NeuN
SREK1IP1	NeuN
SSH1	NeuN
ST7L	NeuN
STARD9	NeuN
SUPT20H	NeuN
SWT1	NeuN
TAB2	NeuN
TAF1B	NeuN
TBC1D2B	NeuN
TBC1D9	NeuN
TBRG4	NeuN
TCEANC2	NeuN
TCF3	NeuN
TCN2	NeuN
TECPR2	NeuN
TIGD7	NeuN
TLN1	NeuN
TMEM106C	NeuN
TMEM143	NeuN
TMEM39B	NeuN
TMTC1	NeuN
TOPBP1	NeuN
TRAPPC10	NeuN
TRAPPC8	NeuN
TRIM13	NeuN
TRIM3	NeuN
TRIM66	NeuN
TRMT61A	NeuN
TRPV2	NeuN
TRRAP	NeuN
TSPEAR	NeuN
TSSC4	NeuN
TSTA3	NeuN
TTC13	NeuN
TTLL3	NeuN
TTLL4	NeuN
TUBB	NeuN
TXNDC11	NeuN
UBA7	NeuN
UBAP2L	NeuN
UHRF1BP1L	NeuN
ULK2	NeuN
UPF2	NeuN
URGCP	NeuN
USP15	NeuN
USP19	NeuN
USP36	NeuN
USP54	NeuN
USP7	NeuN
VAV3	NeuN
VPS16	NeuN
VPS51	NeuN
WAC	NeuN
WDFY2	NeuN
WDR34	NeuN
WDR54	NeuN
WDR62	NeuN
WDR93	NeuN
WRN	NeuN
WTIP	NeuN
XKR4	NeuN
XPO6	NeuN
ZBTB4	NeuN
ZC3H7A	NeuN
ZDHHC22	NeuN
ZFP30	NeuN
ZFP69	NeuN
ZFYVE16	NeuN
ZIK1	NeuN
ZNF140	NeuN
ZNF142	NeuN
ZNF160	NeuN
ZNF197	NeuN
ZNF219	NeuN
ZNF224	NeuN
ZNF233	NeuN
ZNF335	NeuN
ZNF33A	NeuN
ZNF454	NeuN
ZNF493	NeuN
ZNF501	NeuN
ZNF502	NeuN
ZNF512	NeuN
ZNF521	NeuN
ZNF546	NeuN
ZNF559	NeuN
ZNF592	NeuN
ZNF596	NeuN
ZNF627	NeuN
ZNF669	NeuN
ZNF7	NeuN
ZNF850	NeuN
ZSCAN18	NeuN
ZSCAN21	NeuN
ZSWIM5	NeuN
ABCA2	NeuN
ABCA5	NeuN
ABCA9	NeuN
ACAA1	NeuN
ACADM	NeuN
ACP6	NeuN
ACTR1B	NeuN
ADH5	NeuN
ADHFE1	NeuN
ADI1	NeuN
ADSL	NeuN
AFMID	NeuN
AGAP2	NeuN
AHRR	NeuN
ANKDD1A	NeuN
ANKRD13C	NeuN
ANKRD16	NeuN
ANKRD49	NeuN
ANKRD54	NeuN
APC2	NeuN
ARHGAP27	NeuN
ARHGEF28	NeuN
ARID3A	NeuN
ASS1	NeuN
ATAD1	NeuN
ATG16L1	NeuN
ATP2C1	NeuN
ATP6V0A2	NeuN
ATP6V1D	NeuN
ATP8A1	NeuN
ATP8B1	NeuN
AZI2	NeuN
B4GALT4	NeuN
BAZ2B	NeuN
BBS7	NeuN
BCO2	NeuN
BNIP3L	NeuN
BOC	NeuN
C11orf54	NeuN
C17orf51	NeuN
C1orf162	NeuN
C1QTNF6	NeuN
C2CD4C	NeuN
C4orf3	NeuN
C6orf163	NeuN
CAAP1	NeuN
CACUL1	NeuN
CALB1	NeuN
CALCOCO1	NeuN
CALM3	NeuN
CALY	NeuN
CAPRIN2	NeuN
CBR4	NeuN
CCDC127	NeuN
CCDC14	NeuN
CCDC18	NeuN
CCDC68	NeuN
CCDC92	NeuN
CCNB1IP1	NeuN
CDC16	NeuN
CDC42BPA	NeuN
CDHR1	NeuN
CDKN1B	NeuN
CDR2	NeuN
CEP97	NeuN
CERS6	NeuN
CHAF1A	NeuN
CHL1	NeuN
CHPT1	NeuN
CHRD	NeuN
CHRNA4	NeuN
CIAO1	NeuN
CIT	NeuN
CLHC1	NeuN
CLYBL	NeuN
CNPY3	NeuN
CNTNAP1	NeuN
COL18A1	NeuN
COL28A1	NeuN
COL5A2	NeuN
COMMD2	NeuN
COX11	NeuN
COX15	NeuN
COX7A2L	NeuN
CUX1	NeuN
CYCS	NeuN
CYP2C8	NeuN
CYP46A1	NeuN
DCAF4	NeuN
DDHD1	NeuN
DDRGK1	NeuN
DESI1	NeuN
DGKZ	NeuN
DHX37	NeuN
DHX8	NeuN
DLGAP3	NeuN
DNAH10	NeuN
DNAH7	NeuN
DNAJC21	NeuN
DNAJC24	NeuN
DNAJC5	NeuN
DNAJC5G	NeuN
DNAJC7	NeuN
