Gene	Class
RBM6	Primate_Accel
RGCC	Primate_Accel
RNF213	Primate_Accel
RNH1	Primate_Accel
RPL19	Primate_Accel
RPL7A	Primate_Accel
RPS6	Primate_Accel
RUFY3	Primate_Accel
SAFB	Primate_Accel
SCAPER	Primate_Accel
SDCCAG8	Primate_Accel
SEC14L2	Primate_Accel
SEPT11	Primate_Accel
SEPT8	Primate_Accel
SERPINB1	Primate_Accel
SF3B2	Primate_Accel
SFMBT2	Primate_Accel
SH3BGR	Primate_Accel
SH3GLB2	Primate_Accel
SH3PXD2A	Primate_Accel
SLC23A2	Primate_Accel
SLC2A11	Primate_Accel
SLTM	Primate_Accel
SNCA	Primate_Accel
SORCS2	Primate_Accel
SP110	Primate_Accel
SRGAP1	Primate_Accel
SRRM1	Primate_Accel
ST13	Primate_Accel
STK33	Primate_Accel
STK39	Primate_Accel
STX18	Primate_Accel
STX4	Primate_Accel
SUGP1	Primate_Accel
SUN2	Primate_Accel
SVIP	Primate_Accel
TAF15	Primate_Accel
TANC1	Primate_Accel
TAOK3	Primate_Accel
TARBP1	Primate_Accel
TBC1D2	Primate_Accel
TCEA3	Primate_Accel
THBS4	Primate_Accel
TIMM44	Primate_Accel
TMEM165	Primate_Accel
TMEM63A	Primate_Accel
TMOD1	Primate_Accel
TNIP1	Primate_Accel
TP53TG5	Primate_Accel
TPD52L1	Primate_Accel
TPR	Primate_Accel
TRAPPC12	Primate_Accel
TRMT1	Primate_Accel
TRMT11	Primate_Accel
TTC7A	Primate_Accel
TTLL5	Primate_Accel
TVP23B	Primate_Accel
TYW1B	Primate_Accel
UAP1L1	Primate_Accel
UBE2G2	Primate_Accel
UGGT2	Primate_Accel
UTRN	Primate_Accel
VAV2	Primate_Accel
VSTM2B	Primate_Accel
WDR59	Primate_Accel
WDR60	Primate_Accel
WNT2B	Primate_Accel
XRRA1	Primate_Accel
YJEFN3	Primate_Accel
ZFC3H1	Primate_Accel
ZIC1	Primate_Accel
ZNF496	Primate_Accel
ZNF528	Primate_Accel
ZNF577	Primate_Accel
ZNF780B	Primate_Accel
ZNF793	Primate_Accel
ADNP2	Primate_Decel
AKAP11	Primate_Decel
ALDOC	Primate_Decel
ANAPC1	Primate_Decel
ANKRD28	Primate_Decel
ANKRD40	Primate_Decel
AP5M1	Primate_Decel
ARHGAP32	Primate_Decel
ARID1A	Primate_Decel
ARIH1	Primate_Decel
ATG9A	Primate_Decel
ATRN	Primate_Decel
BCL7B	Primate_Decel
BCL9	Primate_Decel
C11orf24	Primate_Decel
C2orf81	Primate_Decel
CA14	Primate_Decel
CABP4	Primate_Decel
CARD6	Primate_Decel
CCDC17	Primate_Decel
CCL25	Primate_Decel
CDC20	Primate_Decel
CDH19	Primate_Decel
CDK6	Primate_Decel
CDK8	Primate_Decel
CEP170	Primate_Decel
CFI	Primate_Decel
CLASP2	Primate_Decel
CLCA1	Primate_Decel
CLCA2	Primate_Decel
CLCN2	Primate_Decel
CLK4	Primate_Decel
CLTC	Primate_Decel
CMTM5	Primate_Decel
CNOT4	Primate_Decel
CORO1B	Primate_Decel
CORO2B	Primate_Decel
CORO7	Primate_Decel
CPEB1	Primate_Decel
CYB5R4	Primate_Decel
CYP7B1	Primate_Decel
DCC	Primate_Decel
DCUN1D2	Primate_Decel
DDR1	Primate_Decel
DENND6B	Primate_Decel
DHCR24	Primate_Decel
DMXL1	Primate_Decel
DPAGT1	Primate_Decel
DYRK1A	Primate_Decel
EHHADH	Primate_Decel
EIF2B2	Primate_Decel
EXOSC4	Primate_Decel
FAM124A	Primate_Decel
FAT1	Primate_Decel
FBXL6	Primate_Decel
FEM1C	Primate_Decel
FRY	Primate_Decel
FRYL	Primate_Decel
GAB1	Primate_Decel
GARNL3	Primate_Decel
GBA	Primate_Decel
GET4	Primate_Decel
GLCE	Primate_Decel
GLRX	Primate_Decel
GPR37	Primate_Decel
GRK4	Primate_Decel
GTF2B	Primate_Decel
HAS3	Primate_Decel
HECTD1	Primate_Decel
HELQ	Primate_Decel
HNRNPL	Primate_Decel
HSD17B8	Primate_Decel
IPO13	Primate_Decel
IRAK3	Primate_Decel
KANSL3	Primate_Decel
KCNJ2	Primate_Decel
KCTD2	Primate_Decel
KIAA0232	Primate_Decel
KIF1B	Primate_Decel
KLF3	Primate_Decel
KLHDC3	Primate_Decel
KLHDC8B	Primate_Decel
KLHL11	Primate_Decel
LGI3	Primate_Decel
LMTK2	Primate_Decel
LPCAT3	Primate_Decel
LRCH3	Primate_Decel
LRRC8C	Primate_Decel
LTN1	Primate_Decel
LYST	Primate_Decel
LZTS2	Primate_Decel
MAG	Primate_Decel
MALT1	Primate_Decel
MAN2C1	Primate_Decel
MANEA	Primate_Decel
MANSC1	Primate_Decel
MBD6	Primate_Decel
MED1	Primate_Decel
MFN1	Primate_Decel
MLLT10	Primate_Decel
MMADHC	Primate_Decel
NAALADL2	Primate_Decel
NCKAP5L	Primate_Decel
NCOA2	Primate_Decel
NDST3	Primate_Decel
NEDD4	Primate_Decel
NIPAL4	Primate_Decel
NPAT	Primate_Decel
NRIP1	Primate_Decel
NSD1	Primate_Decel
OBSCN	Primate_Decel
OR1L6	Primate_Decel
OXA1L	Primate_Decel
PHGDH	Primate_Decel
PHLPP1	Primate_Decel
PIGB	Primate_Decel
PIK3CB	Primate_Decel
PLAGL2	Primate_Decel
PLCL1	Primate_Decel
PNMA1	Primate_Decel
POFUT1	Primate_Decel
POGZ	Primate_Decel
POLR1B	Primate_Decel
POLR1D	Primate_Decel
PPIP5K2	Primate_Decel
PRR14L	Primate_Decel
PRRT1	Primate_Decel
PRSS21	Primate_Decel
PUF60	Primate_Decel
PUS3	Primate_Decel
RAG1	Primate_Decel
RECQL	Primate_Decel
RELN	Primate_Decel
REPIN1	Primate_Decel
RIC8A	Primate_Decel
RICTOR	Primate_Decel
RIF1	Primate_Decel
RLF	Primate_Decel
RNF26	Primate_Decel
RNF4	Primate_Decel
RTKN	Primate_Decel
SACS	Primate_Decel
SEMA6D	Primate_Decel
SETD7	Primate_Decel
SETX	Primate_Decel
SF1	Primate_Decel
SFRP1	Primate_Decel
SH2D6	Primate_Decel
SHISA4	Primate_Decel
SIPA1L1	Primate_Decel
SLC12A6	Primate_Decel
SLC25A28	Primate_Decel
SLC25A36	Primate_Decel
SLC2A12	Primate_Decel
SLC6A9	Primate_Decel
SLC7A9	Primate_Decel
SMN1	Primate_Decel
SOBP	Primate_Decel
SOGA1	Primate_Decel
SPEN	Primate_Decel
SPG11	Primate_Decel
ST3GAL5	Primate_Decel
STOX2	Primate_Decel
STRC	Primate_Decel
SUPT20H	Primate_Decel
SYNRG	Primate_Decel
TEP1	Primate_Decel
TESK1	Primate_Decel
TESK2	Primate_Decel
TEX2	Primate_Decel
TGIF1	Primate_Decel
THTPA	Primate_Decel
TMEM260	Primate_Decel
TMEM8B	Primate_Decel
TMEM95	Primate_Decel
TMEM97	Primate_Decel
TNKS	Primate_Decel
TRAF4	Primate_Decel
TRIM32	Primate_Decel
TRIM36	Primate_Decel
TRPM8	Primate_Decel
TTYH2	Primate_Decel
UBP1	Primate_Decel
UBXN2B	Primate_Decel
URB2	Primate_Decel
URGCP	Primate_Decel
USP2	Primate_Decel
USP47	Primate_Decel
USP6NL	Primate_Decel
VCPIP1	Primate_Decel
WDFY2	Primate_Decel
WDFY3	Primate_Decel
WNK1	Primate_Decel
WSCD1	Primate_Decel
XPO6	Primate_Decel
YARS2	Primate_Decel
YTHDF2	Primate_Decel
YTHDF3	Primate_Decel
ZBTB14	Primate_Decel
ZBTB38	Primate_Decel
ZC3H10	Primate_Decel
ZDBF2	Primate_Decel
ZEB2	Primate_Decel
ZFP2	Primate_Decel
ZFP62	Primate_Decel
ZNF146	Primate_Decel
ZNF177	Primate_Decel
ZNF26	Primate_Decel
ZNF268	Primate_Decel
ZNF300	Primate_Decel
ZNF425	Primate_Decel
ZNF429	Primate_Decel
ZNF557	Primate_Decel
ZNF579	Primate_Decel
ZNF592	Primate_Decel
ZNF595	Primate_Decel
ZNF691	Primate_Decel
ZNF778	Primate_Decel
ZNF800	Primate_Decel
ZYX	Primate_Decel
